"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","18-Jan-2016","       1073.30","       1075.00","       1083.95","       1008.10","       1020.40","       1016.85","       1049.91","    6229959","          6540923209.90","     196022"
"RELIANCE","EQ","19-Jan-2016","       1016.85","       1029.00","       1049.80","       1014.10","       1046.95","       1043.60","       1036.51","    4912096","          5091435246.00","     136592"
"RELIANCE","EQ","20-Jan-2016","       1043.60","       1034.90","       1034.90","        990.00","       1009.15","       1004.55","       1008.92","   10312353","         10404327993.70","     219237"
"RELIANCE","EQ","21-Jan-2016","       1004.55","       1017.55","       1025.75","        976.70","        982.45","        984.20","        994.85","    7261772","          7224376994.75","     184992"
"RELIANCE","EQ","22-Jan-2016","        984.20","        994.05","       1011.00","        994.05","       1004.05","       1004.15","       1003.25","    5413455","          5431058011.45","     125503"
"RELIANCE","EQ","25-Jan-2016","       1004.15","       1010.00","       1018.75","       1000.00","       1000.20","       1003.95","       1010.67","    2994340","          3026275941.55","      88530"
"RELIANCE","EQ","27-Jan-2016","       1003.95","       1008.10","       1010.00","        996.95","        997.00","        999.35","       1004.13","    3943295","          3959581189.00","      90937"
"RELIANCE","EQ","28-Jan-2016","        999.35","       1001.00","       1021.80","        997.10","       1015.50","       1016.90","       1012.35","    5274473","          5339625414.45","      87223"
"RELIANCE","EQ","29-Jan-2016","       1016.90","       1018.95","       1040.00","       1018.00","       1036.00","       1035.40","       1032.75","    4383577","          4527146899.00","      85556"
"RELIANCE","EQ","01-Feb-2016","       1035.40","       1039.95","       1041.80","       1025.55","       1028.20","       1030.30","       1032.86","    2267273","          2341781935.05","      66817"
"RELIANCE","EQ","02-Feb-2016","       1030.30","       1030.30","       1032.80","        990.50","        995.50","       1001.15","       1013.98","    3376466","          3423672333.55","     107860"
